correct,incorrect
Komisja wszystkie trzy przyjęła i proszę Wysoką Izbę o przyjęcie tych poprawek razem z całą ustawą.,Komisja wszystkie trzy przyjął i proszę Wysoką Izbę o przyjęcie tych poprawek razem z całą ustawą.
"Pani minister odpowiedziała na większość pytań, które zostały zadane po debacie, w związku z tym powiem dwa słowa o samej debacie i podsumuję to, co prezentowali dzisiaj poszczególni posłowie i co prezentowały kluby.","Pani minister odpowiedział na większość pytań, które zostały zadane po debacie, w związku z tym powiem dwa słowa o samej debacie i podsumuję to, co prezentowali dzisiaj poszczególni posłowie i co prezentowały kluby."
"Realizacja tego budżetu, dzięki wielu trudnym, bardzo bolesnym nieraz decyzjom, dała przyrost w wielkości 1,3%, co w porównaniu z 1% wzrostu w 2001 r. jest ewidentnym odwróceniem tendencji.","Realizacja tego budżetu, dzięki wielu trudnym, bardzo bolesnym nieraz decyzjom, dał przyrost w wielkości 1,3%, co w porównaniu z 1% wzrostu w 2001 r. jest ewidentnym odwróceniem tendencji."
"- Kontrola wykazała również brak pełnego nadzoru ze strony dysponentów części budżetowych, właściwych organów samorządowych, inwestorów oraz inwestorów zastępczych nad przebiegiem procesów inwestycyjnych.","- Kontrola wykazał również brak pełnego nadzoru ze strony dysponentów części budżetowych, właściwych organów samorządowych, inwestorów oraz inwestorów zastępczych nad przebiegiem procesów inwestycyjnych."
"Natomiast komisja, po dłuższej dyskusji, zdecydowanie tego nie podzieliła, bo zdarza się - to dzisiaj się zdarza, proszę państwa - że policjant popełni oczywiste przestępstwo.","Natomiast komisja, po dłuższej dyskusji, zdecydowanie tego nie podzielił, bo zdarza się - to dzisiaj się zdarza, proszę państwa - że policjant popełni oczywiste przestępstwo."
"- Nie, no pani minister z pewnością je wypowiedziała, ale to na swój rachunek.","- Nie, no pani minister z pewnością je wypowiedział, ale to na swój rachunek."
Taką decyzję podjęła izba.,Taką decyzję podjął izba.
- Poprawka uzyskała akceptację.,- Poprawka uzyskał akceptację.
"Komisja podjęła decyzję o trybie, w jakim będziemy prowadzić głosowanie.","Komisja podjął decyzję o trybie, w jakim będziemy prowadzić głosowanie."
- Komisja Europejska przedłożyła sprawozdanie o stanowisku Senatu w sprawie ustawy o materiałach wybuchowych przeznaczonych do użytku cywilnego.,- Komisja Europejska przedłożył sprawozdanie o stanowisku Senatu w sprawie ustawy o materiałach wybuchowych przeznaczonych do użytku cywilnego.
Komisja do Spraw Unii Europejskiej przedłożyła dodatkowe sprawozdanie o projekcie uchwały w sprawie udziału Rzeczypospolitej Polskiej w pracach Unii Europejskiej w maju i czerwcu 2004 r.,Komisja do Spraw Unii Europejskiej przedłożył dodatkowe sprawozdanie o projekcie uchwały w sprawie udziału Rzeczypospolitej Polskiej w pracach Unii Europejskiej w maju i czerwcu 2004 r.
– żeby nie. nie weszła gdzieś gdzie nie potrzeba. żeby coś nie ściągła..,– żeby nie. nie wszedł gdzieś gdzie nie potrzeba. żeby coś nie ściągła..
toż do roku żadnej nocy nie przespałam..,toż do roku żadnej nocy nie przespałm..
no ale niestety. powiedziała że w mega hicie nigdy nie była i nigdy tam nie pójdzie..,no ale niestety. powiedział że w mega hicie nigdy nie była i nigdy tam nie pójdzie..
– za jedne pół godziny wydałam pięć.,– za jedne pół godziny wydał m pięć.
– ja już powiedziałam mojej mamie że może padać do końca czerwca nawet,– ja już powiedział m mojej mamie że może padać do końca czerwca nawet
– słuchaj no ja takich ślubów harcerskich to wiesz przeżyłam już trochę w życiu nie..,– słuchaj no ja takich ślubów harcerskich to wiesz przeżył m już trochę w życiu nie..
– w ogóle mi wyleciała z głowy.,– w ogóle mi wyleciał z głowy.
– powiedziała że jej zanikły szare komórki i teraz i nie idzie jej nauka.,– powiedział że jej zanikły szare komórki i teraz i nie idzie jej nauka.
– nie dała ci?,– nie dał ci?
– bo pani doktor to zdobyła tytuł głową. a pani doktorowa to zdobyła tytuł..,– bo pani doktor to zdobyła tytuł głową. a pani doktorowa to zdobył tytuł..
– koleżanka moja zdała albo zdawała egzamin jakoś teraz miała mi napisać..,– koleżanka moja zdał albo zdawała egzamin jakoś teraz miała mi napisać..
może bym ze trzy kartofle starła i placki ?,może by m ze trzy kartofle starł i placki ?
to jeszcze moja mama mnie nauczyła tej gry w zadowolenie,to jeszcze moja mama mnie nauczył tej gry w zadowolenie
– Gosia już załatwiła.,– Gosia już załatwił.
– no źle się poczułam.,– no źle się poczuł m .
– obraziłaś się.,– obraził ś się.
– tabletek nie wzięłam ze sobą.,– tabletek nie wziął m ze sobą.
– czego nie wzięłaś?,– czego nie wziął ś ?
na razie się atmosfera w pracy poprawiła. między wiesz ale. powiedziała że nigdy nie będzie już tak jak było kiedyś,na razie się atmosfera w pracy poprawił. między wiesz ale. powiedziała że nigdy nie będzie już tak jak było kiedyś
jakiś żeś zrobiła?,jakiś że ś zrobił?
– podcięłam siostra mi podcięła..,– podciął m siostra mi podcięła..
no słuchaj mama tydzień temu wyszła,no słuchaj mama tydzień temu wyszedł
– obiecałam ci i koniec..,– obiecał m ci i koniec..
– nie to ja nie zauważyłam zupełnie..,– nie to ja nie zauważył m zupełnie..
tak ja nie zwróciłam uwagi.,tak ja nie zwrócił m uwagi.
– nie zwróciłam uwagi..,– nie zwrócił m uwagi..
tutaj obcięłam Ewelinę.,tutaj obciął m Ewelinę.
najpierw klatka chyba stanęła nie?,najpierw klatka chyba stanął nie?
– którą też przeczytałam całą.,– którą też przeczytał m całą.
tylko mi się rozkleiła na kawałki. więc kupiłam ci drugą..,tylko mi się rozkleił na kawałki. więc kupiła m ci drugą..
– znaczy zdjęcia też mam zrobione tylko je zgubiłam.,– znaczy zdjęcia też mam zrobione tylko je zgubił m .
– a ja oblałam matmę.,– a ja oblał m matmę.
cała klasa oblała matmę..,cała klasa oblał matmę..
no. ale z polskiego dostałam na przykład trzy plus..,no. ale z polskiego dostał m na przykład trzy plus..
– ja się właśnie trochę zdziwiłam wiesz bo miałam dwa leki robione dla niej dwie jednakowe w zasadzie to samo działanie praktycznie miało być bo to było na to zapalenie wiesz co jamy ustnej nie?,– ja się właśnie trochę zdziwił m wiesz bo miała m dwa leki robione dla niej dwie jednakowe w zasadzie to samo działanie praktycznie miało być bo to było na to zapalenie wiesz co jamy ustnej nie?
pewnie jak bym go zobaczyła to bym poznała..,pewnie jak by m go zobaczyła to by m poznał..
coś nam się chyba pogoda zmieniła trochę..,coś nam się chyba pogoda zmienił trochę..
no i niunia napiła się szampana ale sama wiesz naszykowałam jej taki normalny duży kieliszek,no i niunia napił się szampana ale sama wiesz naszykowała m jej taki normalny duży kieliszek
no to dałam jej taki na nóżce od wódeczki,no to dał m jej taki na nóżce od wódeczki
Elka jakoś tam zachorzała potężnie.,Elka jakoś tam zachorzał potężnie.
– to ja nazwałam bo on przyszedł i i trumny i trumny a mnie uszy więdną,– to ja nazwał m bo on przyszedł i i trumny i trumny a mnie uszy więdną
– a ten ledwo spółka powstała,– a ten ledwo spółka powstał
– tobie Zbyszek wstawiłam wodę..,– tobie Zbyszek wstawił m wodę..
a matka nie dała ani dziecku własnemu ani synowi ani córce mieszkania,a matka nie dał ani dziecku własnemu ani synowi ani córce mieszkania
bo tak zaczęłam robić.,bo tak zaczął m robić.
– bo ona zadzwoniła do niego do domu i się pyta rodziców czy jest Złomek..,– bo ona zadzwonił do niego do domu i się pyta rodziców czy jest Złomek..
– ale tu nie no wiesz to bym poszła do pracy natomiast tak to to wiesz no.,– ale tu nie no wiesz to by m poszedł do pracy natomiast tak to to wiesz no.
powiedziałaś że jesz ciasto,powiedział ś że jesz ciasto
ja już sobie tyle rzeczy odmówiłam w życiu.,ja już sobie tyle rzeczy odmówił m w życiu.
bo to w ogóle ja ją napoczęłam w bardzo złym nastroju..,bo to w ogóle ja ją napoczął m w bardzo złym nastroju..
spotkałam wiesz co Bożenkę..,spotkał m wiesz co Bożenkę..
– aha bo i z kim się związała ?,– aha bo i z kim się związał ?
– ona w ogóle powiedziała..,– ona w ogóle powiedział..
– ona zresztą powiedziała bo już nie miła tego akurat więcej ale mówi że ona ma cały czas tą włóczkę..,– ona zresztą powiedział bo już nie miła tego akurat więcej ale mówi że ona ma cały czas tą włóczkę..
od razu mnie zbadała,od razu mnie zbadał
porobiłam te wyniki,porobił m te wyniki
a że ta tyż mi od razu dała od ręki zaświadczenie no to wzięłam i wysłałam siódmego października.,a że ta tyż mi od razu dała od ręki zaświadczenie no to wziął m i wysłała m siódmego października.
wczoraj zapłaciłam,wczoraj zapłacił m
byłam w banku pobrałam pieniądze..,była m w banku pobrał m pieniądze..
– poszłam.,– poszedł m .
poszłam do dermatologa a ona mówi że ja jestem uczulona na słońce.,poszedł m do dermatologa a ona mówi że ja jestem uczulona na słońce.
tak to sobie zawsze w lecie wygrzałam te kości i miałam zapas taki na zimę. żeby mnie nie bolało.,tak to sobie zawsze w lecie wygrzał m te kości i miała m zapas taki na zimę. żeby mnie nie bolało.
– popsuła no właśnie..,– popsuł no właśnie..
– ja dzisiaj. ja dzisiaj dopiero przyjechałam.,– ja dzisiaj. ja dzisiaj dopiero przyjechał m .
– o to poszła dalej niż ja..,– o to poszedł dalej niż ja..
bym przyjechała..,by m przyjechał..
– tylko trochę za późno zaczęłam..,– tylko trochę za późno zacząłm..
– ale kasetę wzięłaś tak?,– ale kasetę wziął ś tak?
– e co ty tam zjadłaś,– e co ty tam zjadłś
naparstek naparstek zjadłaś,naparstek naparstek zjadłś
– najchętniej by bym jej nie zmieniła wiesz ale czuję że sytuacja mnie zmusi.,– najchętniej by by m jej nie zmienił wiesz ale czuję że sytuacja mnie zmusi.
zaczym coś znalazłam godzina czasu upłynęła.,zaczym coś znalazła m godzina czasu upłynął.
– ciocia twoja przyszła..,– ciocia twoja przyszedł..
skrzynia biegów się rozsypała..,skrzynia biegów się rozsypał..
pozwoliłam.,pozwolił m .
– znaczy zgubiła..,– znaczy zgubił..
– tak Krysia papieroski to żeby prędzej się chyba przekręciła od tych papierosków.,– tak Krysia papieroski to żeby prędzej się chyba przekręcił od tych papierosków.
a powiedziała że jej noga już u niej w domu noga stanie i znowu w szpitalu wylądowała.,a powiedział że jej noga już u niej w domu noga stanie i znowu w szpitalu wylądowała.
dwa tysiące mu załatwiłam tego kredytu. i myślałam że ten kredyt mu dam a to se zostawię.,dwa tysiące mu załatwił m tego kredytu. i myślała m że ten kredyt mu dam a to se zostawię.
– dzisiaj zjadłam dwa pączki. wafelki. a idąc do ciebie jeszcze batonika wciągnęłam..,– dzisiaj zjadł m dwa pączki. wafelki. a idąc do ciebie jeszcze batonika wciągnęła m ..
– bo właśnie dzisiaj sobie zainstalowałam nowego emesena i mi się tak chamsko włączyło na to.,– bo właśnie dzisiaj sobie zainstalował m nowego emesena i mi się tak chamsko włączyło na to.
wiesz ja odziedziczyłam po tatusiu,wiesz ja odziedziczył m po tatusiu
– żeby była sprawiedliwość to ja bym dopisała na każdym literkę.,– żeby była sprawiedliwość to ja by m dopisał na każdym literkę.
– o to drożdże sparzyłaś,– o to drożdże sparzyłś
– o jejku ale się obżarłam,– o jejku ale się obżarł m
– już powiedziałam że więcej kurcze z poczty już nic nie,– już powiedział m że więcej kurcze z poczty już nic nie
– jego rozpoznała rodzina.,– jego rozpoznał rodzina.
– ona wstała i od razu włączyła komputer.,– ona wstał i od razu włączyła komputer.
– nie włączyła tylko ja chcę. coś wam pokazać,– nie włączył tylko ja chcę. coś wam pokazać
– o Ewa to dostała kurczaka,– o Ewa to dostał kurczaka
– a ty nie dostałaś i nie dostaniesz bo nie mom,– a ty nie dostał ś i nie dostaniesz bo nie mom
– ja tak nie zrobiłam,– ja tak nie zrobiłm
nie nie przyjęłam chyba w ogóle nie,nie nie przyjął m chyba w ogóle nie
– Staśka czy się pomalowałaś na różowo ?,– Staśka czy się pomalował ś na różowo ?
– nie po teraz wzięłam i tak ten sobie starałam,– nie po teraz wziął m i tak ten sobie starałam
– bo zaczęłam oglądać,– bo zaczął m oglądać
– no to wzięła dziewiąty dziesiąty dwa tysiące dziesiąty,– no to wziął dziewiąty dziesiąty dwa tysiące dziesiąty
nawet Olka takie zdjęcie kiedyś dała,nawet Olka takie zdjęcie kiedyś dał
– no zapaliłam wczoraj bez problemu !,– no zapalił m wczoraj bez problemu !
– zapaliłam bez problemu,– zapalił m bez problemu
co tam wyczytałaś ?,co tam wyczytał ś ?
cipka mi się przełożyła z prawa na lewą no,cipka mi się przełożył z prawa na lewą no
powiedziałam że nie i zrezygnowała z terapii,powiedział m że nie i zrezygnowała z terapii
– bo tam były powiedziałabym typowe wady dla dzieci młodszoszkolnych ale no wiadomo że u jej rówieśników powiedzmy pierwsza klasa połowa drugiej już mogłam powiedzieć że zamknęliśmy sprawę,– bo tam były powiedział by m typowe wady dla dzieci młodszoszkolnych ale no wiadomo że u jej rówieśników powiedzmy pierwsza klasa połowa drugiej już mogła m powiedzieć że zamknęli śmy sprawę
– znaczy u nas za komuny się zapisała jako złotą gwiazdą wiesz grundigów nie ?,– znaczy u nas za komuny się zapisał jako złotą gwiazdą wiesz grundigów nie ?
– i niczym by nie dojechała do domu po prostu,– i niczym by nie dojechał do domu po prostu
co było takim nie wiem główną przyczyna odejścia z tej pracy bo mówiła pani że szukała cały czas po godzinach jakiejś dodatkowej nowej pracy ale jednak ostatecznie zdecydowała się pani opuścić po tych siedmiu latach tą firmę,co było takim nie wiem główną przyczyna odejścia z tej pracy bo mówiła pani że szukała cały czas po godzinach jakiejś dodatkowej nowej pracy ale jednak ostatecznie zdecydował się pani opuścić po tych siedmiu latach tą firmę
– nie nie powiedziałam czegoś takiego że bezkrytycznie patrzeć na zachód,– nie nie powiedział m czegoś takiego że bezkrytycznie patrzeć na zachód
– Monika powiedziała że to jest bardzo dobra dziewczyna ta Danka żeby jej zaufać i że tego mówi że sama się ucieszyła że to właśnie ta dziewczyna,– Monika powiedział że to jest bardzo dobra dziewczyna ta Danka żeby jej zaufać i że tego mówi że sama się ucieszyła że to właśnie ta dziewczyna
– nie popsuła się,– nie popsuł się
no i poopowiadałam najpierw później pani zadawała pytania oni zadawali,no i poopowiadał m najpierw później pani zadawała pytania oni zadawali
i później stamtąd pojechałam do Piotrusia.,i później stamtąd pojechał m do Piotrusia.
no i później pojechałam do Patrycji na uczelnię.,no i później pojechał m do Patrycji na uczelnię.
no więc ja napisałam jeden post tam myśląc że jeszcze oni są jacyś sensowni ci co się przeciwstawiają temu jednemu temu właściwie jeszcze raz głowowaniu właściwie ponownemu,no więc ja napisał m jeden post tam myśląc że jeszcze oni są jacyś sensowni ci co się przeciwstawiają temu jednemu temu właściwie jeszcze raz głowowaniu właściwie ponownemu
– już nie pamiętam tam jakaś gmina zaskarżyła tą ustawę.,– już nie pamiętam tam jakaś gmina zaskarżył tą ustawę.
Ela wieczorem posprzątała,Ela wieczorem posprzątał
– co zrobiłaś ?,– co zrobił ś ?
patrz już już niby nic już nic nie zrobiła,patrz już już niby nic już nic nie zrobił
– a ja wczoraj tak zasnęłam ani filmu nic ale później jeszcze jak wzięłam rower to pojechałam do Lipia,– a ja wczoraj tak zasnął m ani filmu nic ale później jeszcze jak wzięła m rower to pojechała m do Lipia
– a ta stoi dlatego zardzewiała,– a ta stoi dlatego zardzewiał
a dużo dosyć wypiłam no ale,a dużo dosyć wypił m no ale
– dużo wypiłaś ?,– dużo wypił ś ?
– no dostałam od ciebie nie,– no dostał m od ciebie nie
– nie wskazałabym.,– nie wskazał by m .
nogi ręce wszystko spuchła.,nogi ręce wszystko spuchł.
no i jak już odzyskała te siły urodziła tą dziewczynkę.,no i jak już odzyskała te siły urodził tą dziewczynkę.
– no jedną bluzeczkę jej dałam nową,– no jedną bluzeczkę jej dał m nową
– dzisiaj he he złamała się trochę.,– dzisiaj he he złamał się trochę.
bo mama jej powiedziała że ma nam nie pokazywać.,bo mama jej powiedział że ma nam nie pokazywać.
– ale niby kupiłam jakiś tam specjalnie coś do czyszczenia ale jak tak naprawdę w lutym marcu to okazało że on różu nie było widać nie,– ale niby kupił m jakiś tam specjalnie coś do czyszczenia ale jak tak naprawdę w lutym marcu to okazało że on różu nie było widać nie
wyszła nie,wyszedł nie
– ej to się takiego czegoś jeszcze nie spotkałam,– ej to się takiego czegoś jeszcze nie spotkałm
– a technika tak poszła,– a technika tak poszedł
wczoraj się na tej działce narobiłam.,wczoraj się na tej działce narobił m .
naszykowałam żebyś sobie przejrzała te kobiety,naszykował m żeby ś sobie przejrzała te kobiety
– ale bardziej to ja to w tym musicalu odebrałam tak że ona tak mówi bo chcą ją docenić,– ale bardziej to ja to w tym musicalu odebrał m tak że ona tak mówi bo chcą ją docenić
– nie porozumiała się.,– nie porozumiał się.
że tam jednak. lewica z PiS się porozumiała,że tam jednak. lewica z PiS się porozumiał
– ale przez ciebie tak tak polubiłam ten zespół,– ale przez ciebie tak tak polubił m ten zespół
– no na drogę wzięłam.,– no na drogę wziął m .
kupiłam sobie bo ja lubię,kupił m sobie bo ja lubię
– twój miałam tak pierwszy kupiła,– twój miała m tak pierwszy kupił
ja zrobiłam dzisiaj do siedemnastej czy coś rano,ja zrobił m dzisiaj do siedemnastej czy coś rano
– no właśnie nie powiedziałam,– no właśnie nie powiedział m
"""Powierzchnia Ziemi nabrałaby zupełnie innego wyglądu, gdyby w architekturze szkło zastąpiło cegłę.","""Powierzchnia Ziemi nabrał by zupełnie innego wyglądu, gdyby w architekturze szkło zastąpiło cegłę."
W LIZBONIE zakończyła się 66 sesja Rady Europy na szczeblu ministrów spraw zagranicznych 21 państw kapitalistycznych naszego kontynentu.,W LIZBONIE zakończył się 66 sesja Rady Europy na szczeblu ministrów spraw zagranicznych 21 państw kapitalistycznych naszego kontynentu.
Kancelaria Prezydenta otrzymała od wojewody pismo informujące o niewręczeniu odznaczeń.,Kancelaria Prezydenta otrzymał od wojewody pismo informujące o niewręczeniu odznaczeń.
"""Wszystkie oczy na Bawarię"" - taki tytuł znalazłam w ""Gazecie Wyborczej"" przed wyborami do bawarskiego Landtagu.","""Wszystkie oczy na Bawarię"" - taki tytuł znalazł m w ""Gazecie Wyborczej"" przed wyborami do bawarskiego Landtagu."
"Cyganka, która wróżyła kobiecie na placu Matejki - wykorzystała jej nieuwagę i ukradła 300 złotych.","Cyganka, która wróżyła kobiecie na placu Matejki - wykorzystał jej nieuwagę i ukradła 300 złotych."
Przed Sądem Okręgowym w Koszalinie zeznała tak wczoraj pielęgniarka z karetki.,Przed Sądem Okręgowym w Koszalinie zeznał tak wczoraj pielęgniarka z karetki.
"To chyba trema spowodowała, że zawodnicy nie zagrali na najwyższym poziomie.","To chyba trema spowodował, że zawodnicy nie zagrali na najwyższym poziomie."
Legia po dwóch porażkach i remisie w ostatnich spotkaniach tym razem pokonała bardzo dobrze spisujący się w rundzie wiosennej Ruch Chorzów.,Legia po dwóch porażkach i remisie w ostatnich spotkaniach tym razem pokonał bardzo dobrze spisujący się w rundzie wiosennej Ruch Chorzów.
Przeprowadziła się tutaj z Krakowa.,Przeprowadził się tutaj z Krakowa.
"Zebranych na wernisażu gości przywitała zabawnym, napisanym przez siebie wierszem.","Zebranych na wernisażu gości przywitał zabawnym, napisanym przez siebie wierszem."
"Lora Szafran, od lat jedna z czołowych polskich wokalistek - ukończyła z wyróżnieniem wspomniany wydział katowickiej uczelni, po czym m.in. występowała z grupą Walk Away.","Lora Szafran, od lat jedna z czołowych polskich wokalistek - ukończył z wyróżnieniem wspomniany wydział katowickiej uczelni, po czym m.in. występowała z grupą Walk Away."
"Ponadto w 68 min po strzale Żuławskiego piłka trafiła w poprzeczkę, a w 87 min piłkę po strzale Zycha z trudem wypiąstkował Gierlicki.","Ponadto w 68 min po strzale Żuławskiego piłka trafił w poprzeczkę, a w 87 min piłkę po strzale Zycha z trudem wypiąstkował Gierlicki."
"Audi A ""trójka"" powstała z myślą o tych, których nie stać na jednoznaczną decyzję co do rozmiarów i wielkości auta, a którzy mimo to chcieliby zostać klientami firmy spod znaku czterech kółek.","Audi A ""trójka"" powstał z myślą o tych, których nie stać na jednoznaczną decyzję co do rozmiarów i wielkości auta, a którzy mimo to chcieli by zostać klientami firmy spod znaku czterech kółek."
Do Urzędu Miasta w Libiążu zgłosiła się firma z Wadowic zainteresowana budową mieszkań w mieście.,Do Urzędu Miasta w Libiążu zgłosił się firma z Wadowic zainteresowana budową mieszkań w mieście.
"Bronisława Kilarecka, z domu Deptuch, urodziła się w podrymanowskich Łazach.","Bronisława Kilarecka, z domu Deptuch, urodził się w podrymanowskich Łazach."
W roku 1931 wyszła za mąż za murarza Bronisława Kilareckiego i prowadziła małe gospodarstwo.,W roku 1931 wyszedł za mąż za murarza Bronisława Kilareckiego i prowadziła małe gospodarstwo.
"Urodziła trójkę dzieci, z których jedno zmarło w wieku 2 lat.","Urodził trójkę dzieci, z których jedno zmarło w wieku 2 lat."
"Łaskawa zarówno dla organizatorów, jak i zawodników okazała się pogoda; deszcz przestał padać w momencie rozpoczęcia zawodów.","Łaskawa zarówno dla organizatorów, jak i zawodników okazał się pogoda; deszcz przestał padać w momencie rozpoczęcia zawodów."
"Powiedziała też, że 22 lipca 2002 r. otrzymała list od prezesa Zjednoczonych Przedsiębiorstw Rozrywkowych Zbigniewa Benbenka (właściciel m.in. ""Super Expressu"") i prezesa TVP Mariusza Waltera.","Powiedział też, że 22 lipca 2002 r. otrzymała list od prezesa Zjednoczonych Przedsiębiorstw Rozrywkowych Zbigniewa Benbenka (właściciel m.in. ""Super Expressu"") i prezesa TVP Mariusza Waltera."
"- Zbiórkę poprzedziła akcja informacyjna, uczniowie wiedzą, na jaki dobry cel popłyną pieniądze.","- Zbiórkę poprzedził akcja informacyjna, uczniowie wiedzą, na jaki dobry cel popłyną pieniądze."
W Tarnobrzegu Orkiestra stała się już tradycją - zagra po raz dziesiąty.,W Tarnobrzegu Orkiestra stał się już tradycją - zagra po raz dziesiąty.
"Taką opłatę uchwaliła Rada Miejska, w której gestii od tego roku jest koordynowanie rozkładów jazdy (przedtem zajmował się tym Urząd Wojewódzki Marszałkowski Województwa Małopolskiego).","Taką opłatę uchwalił Rada Miejska, w której gestii od tego roku jest koordynowanie rozkładów jazdy (przedtem zajmował się tym Urząd Wojewódzki Marszałkowski Województwa Małopolskiego)."
Bibliofilski rarytas wydrukowała w czynie społecznym załoga Prasowych Zakładów Graficznych we Wrocławiu.,Bibliofilski rarytas wydrukował w czynie społecznym załoga Prasowych Zakładów Graficznych we Wrocławiu.
Pod naciskiem takich głosów telewizja ponownie zapowiedziała emisję owego programu.,Pod naciskiem takich głosów telewizja ponownie zapowiedział emisję owego programu.
"MKZ ""Solidarność"" zapoznała też I sekretarza KW z szeregiem własnych kłopotów organizacyjnych.","MKZ ""Solidarność"" zapoznał też I sekretarza KW z szeregiem własnych kłopotów organizacyjnych."
"Dyskusja na ten temat odbyła się wczoraj w Starostwie Powiatowym, a po półtoragodzinnej wymianie zdań powiatowi radni jednogłośnie zdecydowali o odrzuceniu złożonej przez burmistrza Wojciechowskiego propozycji nieodpłatnego przejęcia ""Fali"".","Dyskusja na ten temat odbył się wczoraj w Starostwie Powiatowym, a po półtoragodzinnej wymianie zdań powiatowi radni jednogłośnie zdecydowali o odrzuceniu złożonej przez burmistrza Wojciechowskiego propozycji nieodpłatnego przejęcia ""Fali""."
"Przyznała to w końcu również spółka „Prywatne Liceum Ogólnokształcące”, dotąd twardo twierdząca, że obie szkoły są jej własnością.","Przyznał to w końcu również spółka „Prywatne Liceum Ogólnokształcące”, dotąd twardo twierdząca, że obie szkoły są jej własnością."
"40 tysięcy złotych wyłożyła na tę imprezę gmina Goleniów, resztę wydatków pokrytych zostało przez sponsorów oraz wpływy z opłat startowych.","40 tysięcy złotych wyłożył na tę imprezę gmina Goleniów, resztę wydatków pokrytych zostało przez sponsorów oraz wpływy z opłat startowych."
Gmina Goleniów dokonała już wyboru wykonawcy opracowania dokumentacji budowlanej drogi wewnętrznej na osiedlu przy ul. Mikołajczyka.,Gmina Goleniów dokonał już wyboru wykonawcy opracowania dokumentacji budowlanej drogi wewnętrznej na osiedlu przy ul. Mikołajczyka.
Prokuratura nie podjęła jeszcze decyzji w sprawie zarzutów zanieczyszczania ścieków i spalania odpadów na terenie TTS.,Prokuratura nie podjął jeszcze decyzji w sprawie zarzutów zanieczyszczania ścieków i spalania odpadów na terenie TTS.
Ta dynamicznie działająca organizacja po spotkaniu z wicemarszałkiem Strukiem założyła sobie „obkolędowanie” wszystkich gmin powiatu starogardzkiego.,Ta dynamicznie działająca organizacja po spotkaniu z wicemarszałkiem Strukiem założył sobie „obkolędowanie” wszystkich gmin powiatu starogardzkiego.
Ponadto pojawiła się okazja do wymiany doświadczeń i spostrzeżeń na temat funkcjonowania KGW na Kociewiu i współpracy z lokalnymi władzami i innymi organizacjami pozarządowymi.,Ponadto pojawił się okazja do wymiany doświadczeń i spostrzeżeń na temat funkcjonowania KGW na Kociewiu i współpracy z lokalnymi władzami i innymi organizacjami pozarządowymi.
"Policja ustaliła sprawców kradzieży, które miały miejsce w styczniu br. na terenie Skarszew.","Policja ustalił sprawców kradzieży, które miały miejsce w styczniu br. na terenie Skarszew."
"Gdyby tylko ogłoszono przetarg na ten teren i ktoś z Warszawy kupiłby go, to droga powstałaby w miesiąc.","Gdyby tylko ogłoszono przetarg na ten teren i ktoś z Warszawy kupił by go, to droga powstał by w miesiąc."
To gdzie ja kandyduję? - zdziwiła się Wiesława Klucznik.,To gdzie ja kandyduję? - zdziwił się Wiesława Klucznik.
"Zapewniła, że jej nazwisko trafiło na listy bez jej wiedzy.","Zapewnił, że jej nazwisko trafiło na listy bez jej wiedzy."
Postępowanie przetargowe oprotestowała szczecińska spółka MD Polska.,Postępowanie przetargowe oprotestował szczecińska spółka MD Polska.
Justyna Steczkowska nie wystąpiła w Bydgoszczy ponieważ nie można było spełnić jej warunków.,Justyna Steczkowska nie wystąpił w Bydgoszczy ponieważ nie można było spełnić jej warunków.
Artystka zażądała czarnej kotary i profesjonalnego oświetlenia.,Artystka zażądał czarnej kotary i profesjonalnego oświetlenia.
List od ks. arcybiskupa otrzymała też Jolanta K.,List od ks. arcybiskupa otrzymał też Jolanta K.
"Trójka radnych, jako załącznik do protokołu, zebrała dokumentację fotograficzną, czyli przykładowe zdjęcia zabudowanych działek.","Trójka radnych, jako załącznik do protokołu, zebrał dokumentację fotograficzną, czyli przykładowe zdjęcia zabudowanych działek."
"Pojawiła się dobra wiadomość dla uczniów szkół średnich z Pelplina i okolic, którzy chcieliby kontynuować naukę blisko miejsca zamieszkania.","Pojawił się dobra wiadomość dla uczniów szkół średnich z Pelplina i okolic, którzy chcieli by kontynuować naukę blisko miejsca zamieszkania."
Taka wystawa odbyła się w miniony weekend w Szkole Podstawowej nr 12 w Tczewie.,Taka wystawa odbył się w miniony weekend w Szkole Podstawowej nr 12 w Tczewie.
"Awaria pompy wieczorem 21 lutego spowodowała, że w Tymawie i Nicponi nie popłynęła w kranach woda.","Awaria pompy wieczorem 21 lutego spowodował, że w Tymawie i Nicponi nie popłynęła w kranach woda."
Urodziła się o godz. 1.05.,Urodził się o godz. 1.05.
W sumie 1 stycznia br. urodziła się czwórka niemowląt.,W sumie 1 stycznia br. urodził się czwórka niemowląt.
"W jego wyniku spłonęła kuchnia w mieszkaniu należącym do młodego małżeństwa, które spodziewa się dziecka.","W jego wyniku spłonął kuchnia w mieszkaniu należącym do młodego małżeństwa, które spodziewa się dziecka."
"Pani Wanda otrzymała nakaz eksmisji dla osób, które z nią mieszkają, ale po... uzyskaniu przez małżeństwo lokalu zastępczego.","Pani Wanda otrzymał nakaz eksmisji dla osób, które z nią mieszkają, ale po... uzyskaniu przez małżeństwo lokalu zastępczego."
